Pick #,Jimmy Johnson,Rich Hill,Fitzgerald/Spielberger,Kevin Meers,PFF,Michael Lopez,Chase Stuart,Ben Baldwin (Surplus Value),Ben Baldwin (On-Field Value)
1,3000,1000,3000,494.6,1.135,219.3,34.6,59,100
2,2600,717,2649,435.7,1.099,213.3,30.2,62,99
3,2200,514,2443,401.3,1.063,207.4,27.6,64,98
4,1800,491,2297,376.9,1.027,201.7,25.8,65,96
5,1700,468,2184,357.9,0.991,196,24.3,70,95
6,1600,446,2092,342.4,0.955,190.4,23.2,80,94
7,1500,426,2014,329.4,0.919,184.9,22.2,88,93
8,1400,406,1946,318,0.883,179.7,21.4,95,92
9,1350,387,1887,308,0.847,174.5,20.6,94,90
10,1300,369,1833,299.1,0.811,169.4,19.9,94,89
11,1250,358,1785,291,0.777,164.5,19.3,96,88
12,1200,347,1741,283.6,0.742,159.8,18.8,100,87
13,1150,336,1700,276.8,0.715,155.1,18.3,99,86
14,1100,325,1663,270.5,0.695,150.6,17.8,100,85
15,1050,315,1628,264.7,0.675,146.2,17.4,99,84
16,1000,305,1595,259.2,0.66,141.9,16.9,100,83
17,950,296,1564,254,0.646,137.8,16.6,99,81
18,900,287,1535,249.2,0.633,133.7,16.2,98,80
19,875,278,1508,244.6,0.619,129.8,15.8,97,79
20,850,269,1482,240.2,0.606,126.1,15.5,95,78
21,800,261,1457,236.1,0.594,122.3,15.2,94,77
22,780,253,1434,232.1,0.584,118.8,14.9,92,76
23,760,245,1411,228.4,0.573,115.4,14.6,91,75
24,740,237,1389,224.7,0.565,112.1,14.4,90,74
25,720,230,1369,221.3,0.557,108.9,14.1,89,73
26,700,223,1349,218,0.549,105.8,13.9,88,72
27,680,216,1330,214.7,0.541,102.8,13.6,86,71
28,660,209,1311,211.7,0.533,100,13.4,85,70
29,640,203,1294,208.7,0.525,97.2,13.2,85,69
30,620,196,1276,205.8,0.518,94.5,12.9,85,68
31,600,190,1260,203,0.51,91.9,12.7,84,67
32,590,184,1244,200.3,0.502,89.4,12.5,83,66
33,580,180,1228,175.2,0.495,87,12.3,88,66
34,560,175,1213,173.3,0.487,84.7,12.1,87,65
35,550,170,1198,171.4,0.48,82.4,12,85,64
36,540,166,1184,169.5,0.473,80.2,11.8,84,63
37,530,162,1170,167.7,0.465,78.2,11.6,83,62
38,520,157,1157,165.9,0.458,76.2,11.4,82,61
39,510,153,1143,164.1,0.451,74.2,11.3,81,60
40,500,149,1131,162.4,0.443,72.3,11.1,80,59
41,490,146,1118,160.8,0.436,70.6,11,78,59
42,480,142,1106,159.1,0.429,68.8,10.8,77,58
